Year,MonthName,Registrations
2000,Apr,19
2000,Aug,16
2000,Dec,9
2000,Feb,47
2000,Jan,37
2000,Jul,16
2000,Jun,10
2000,Mar,41
2000,May,9
2000,Nov,23
2000,Oct,21
2000,Sep,12
2001,Apr,26
2001,Aug,22
2001,Dec,19
2001,Feb,26
2001,Jan,24
2001,Jul,31
2001,Jun,29
2001,Mar,24
2001,May,19
2001,Nov,20
2001,Oct,17
2001,Sep,25
2002,Apr,32
2002,Aug,25
2002,Dec,29
2002,Feb,16
2002,Jan,26
2002,Jul,31
2002,Jun,21
2002,Mar,24
2002,May,31
2002,Nov,21
2002,Oct,30
2002,Sep,25
2003,Apr,45
2003,Aug,46
2003,Dec,60
2003,Feb,35
2003,Jan,34
2003,Jul,50
2003,Jun,34
2003,Mar,40
2003,May,41
2003,Nov,58
2003,Oct,61
2003,Sep,56
2004,Apr,105
2004,Aug,113
2004,Dec,236
2004,Feb,80
2004,Jan,101
2004,Jul,113
2004,Jun,101
2004,Mar,83
2004,May,83
2004,Nov,202
2004,Oct,131
2004,Sep,149
2005,Apr,160
2005,Aug,57
2005,Dec,92
2005,Feb,401
2005,Jan,350
2005,Jul,61
2005,Jun,65
2005,Mar,364
2005,May,73
2005,Nov,92
2005,Oct,105
2005,Sep,70
2006,Apr,122
2006,Aug,150
2006,Dec,136
2006,Feb,124
2006,Jan,112
2006,Jul,140
2006,Jun,144
2006,Mar,137
2006,May,133
2006,Nov,227
2006,Oct,153
2006,Sep,136
2007,Apr,213
2007,Aug,209
2007,Dec,185
2007,Feb,196
2007,Jan,176
2007,Jul,220
2007,Jun,188
2007,Mar,231
2007,May,208
2007,Nov,248
2007,Oct,210
2007,Sep,202
2008,Apr,272
2008,Aug,286
2008,Dec,255
2008,Feb,296
2008,Jan,230
2008,Jul,334
2008,Jun,284
2008,Mar,259
2008,May,325
2008,Nov,361
2008,Oct,314
2008,Sep,277
2009,Apr,477
2009,Aug,607
2009,Dec,1012
2009,Feb,371
2009,Jan,423
2009,Jul,577
2009,Jun,515
2009,Mar,472
2009,May,477
2009,Nov,911
2009,Oct,975
2009,Sep,625
2010,Apr,3614
2010,Aug,491
2010,Dec,521
2010,Feb,3778
2010,Jan,2217
2010,Jul,567
2010,Jun,699
2010,Mar,4263
2010,May,1382
2010,Nov,563
2010,Oct,515
2010,Sep,515
2011,Apr,692
2011,Aug,603
2011,Dec,718
2011,Feb,400
2011,Jan,589
2011,Jul,606
2011,Jun,662
2011,Mar,821
2011,May,605
2011,Nov,1139
2011,Oct,285
2011,Sep,281
2012,Apr,784
2012,Aug,705
2012,Dec,695
2012,Feb,669
2012,Jan,764
2012,Jul,709
2012,Jun,767
2012,Mar,795
2012,May,716
2012,Nov,825
2012,Oct,614
2012,Sep,617
2013,Apr,796
2013,Aug,707
2013,Dec,730
2013,Feb,690
2013,Jan,824
2013,Jul,809
2013,Jun,796
2013,Mar,850
2013,May,760
2013,Nov,882
2013,Oct,741
2013,Sep,722
2014,Apr,788
2014,Aug,863
2014,Dec,771
2014,Feb,715
2014,Jan,828
2014,Jul,1125
2014,Jun,787
2014,Mar,862
2014,May,781
2014,Nov,1060
2014,Oct,888
2014,Sep,996
2015,Apr,1021
2015,Aug,1028
2015,Dec,953
2015,Feb,967
2015,Jan,1030
2015,Jul,1074
2015,Jun,1140
2015,Mar,920
2015,May,1021
2015,Nov,1174
2015,Oct,997
2015,Sep,982
2016,Apr,1128
2016,Aug,1095
2016,Dec,1171
2016,Feb,1292
2016,Jan,1121
2016,Jul,1208
2016,Jun,1324
2016,Mar,1314
2016,May,1228
2016,Nov,1513
2016,Oct,1365
2016,Sep,1237
2017,Apr,1505
2017,Aug,1312
2017,Dec,1389
2017,Feb,1349
2017,Jan,1355
2017,Jul,1457
2017,Jun,1328
2017,Mar,1676
2017,May,1346
2017,Nov,1766
2017,Oct,1661
2017,Sep,1297
2018,Apr,1800
