Vehicle Type,Count
Sedan,8665
Saloon,6298
Open,4898
Monocoque,754
Closed,674
Hard Top,510
Maruti Swift Vdi Bsiv,467
Maruti Swift Vdi Bs Iv,406,,,,,
Station Wagon,377
Maruti Alto Lxi Bsiv,375
Hackney,368
Maruti Swift Dzire Vdi Bs Iv,329
Marutiswift Dzire Vdi Bsiv,291
Maruti  Ritz Vdi Bsiv,263
Maruti Alto 800 Lxi Bsiv,246
TANKER,224
Maruti Alto K10 Vxi Bs Iv,214
Maruti Swift Dzire Vdi-Bs Iii,197
Maruti Wagon R Vxi Bsiv,195
Maruti  Ritz Vxi Bsiv,169
Splender+(Drum-Spoke Wheels),163
TIPPER,162
Passion Pro(Drum-Self Spoke Wh,156
Maruti Ertiga Zdi Bsiv,141
Maruti Swift Vxi Bs Iv,131
Maruti Swift Vdi-Bsiii,128
Maruti Ertiga Vdi Bsiv,122
Passion Pro (Drum Self Cast Wh,122
Passion Pro (Drum-Kick Spoke W,122
Maruti Omni E Mpi Std Bsiv,118
Maruti  Wagon R  Lxi Bsiv,112
Maruti Swift Dzire Vxi Bsiv,110
Maruti Wagon R Green  Lxi  Bsiv,109
Splendor+ (Drum-Spoke)Bsiii,104
Ape Xtra Ld Bsiii,102
Marutiswift Dzire Vxi Bsiv,101
Passion Pro (Drum Self Cast Wheels),100
Cbz X-Treme-Es(Electricstart)B,99
Maruti Alto K10 Lxi Bs Iv,99
COMBINED HARVESTER,98
Maruti Swift Zdi Bsiv,97
Passion Pro (Drum-Self Cast Wheels)Bsiii,95
Passion Plus (Drum Spoke Wheel,87
Maruti Swift Vxi  Bsiv Wb-2430,85
" Bsiii""",83
Passion Pro (Drum-Self Cast Wh,80
Passon Pro (Drum-Self Spoke Wheels)Bsiii,70
Tourer,68
Maruti Eeco 5 Seater With Ac,68
Passion Plus (Drum Spoke Wheels),65
Passion Plus (Drum-Spoke Wheel,62
Maruti  Ritz Ldi Bsiv,62
Maruti Ritz Vdi  Bsiv,61
Maruti Zen Lxi Estilo,60
3Dx  2Wd Backhoe Loader Bsiii,58
Maruti Alto Green Lxi Bsiv,57
Maruti Swift Dzire Zdi Bs Iv,54
Maruti Zen Vxi Estilo,54
Passion Pro(Drum-Self Spoke Wheels),54
Marutiswift Dzire Zdi Bsiv,53
Pleasure Bsiii,51
" El.A.Start&Kick S-Bsii""",51
Maruti Swift Ldi Bs Iv,46
Maruti Wagonr Duo Lxi Bsiv,46
Maruti Eeco 7 Seater W/O Ac Bsiv,45
Maruti Alto800 Lxi Bsiv,45
Maruti A-Star Vxi,45
3Dx 2Wdsideshift Excv Loader,45
Maruti  Ritz Zxi Bsiv,44
Maruti Alto 800 Green Lxi Bsiv,43
Maruti Swift Dzire Vxi-Bs Iii,43
Passion Pro (Drum-Kick Cast Wheels),42
Maruti  Ritz Lxi Bsiv,41
Passon Pro (Drum-Self Spoke Wh,39
Maruti Wagon Rvxi Bsiv,37
Passion Plus (Drum-Spoke Wheels),36
Vespa Bsiii,33
Maruti Sx 4 Zxi  Bsiv,33
Maruti Swift Dzire Ldi-Bs Iii,32
Cbz X -Treme (Es)  Bsiii,32
CHASSIS,31
"Diesel Pd""",31
Jeep,28
Maruti Alto800 Vxi Bsiv,28
Maruti A Star Vxi Bsiv,27
Maruti Swift Dzire Tour Diesel Bsiv,27
Maruti Swift Ldi-Bsiii,27
Maruti Ritz  Zdi Bsiv,26
Karizma Bsiii,26
Pleasure Bsii,25
Hero Honda Passion Plus,24
Cbz X Treme (Es) Rear Drum Brake Bsiii,24
Bolero Maxi Truck Plus 2Wd Ps Bsiii,24
Maruti Swift Dzire Ldi Bs Iv,24
Maruti 800 Mpi Duo Bs Iii Ac,24
Maruti Sx4 Vxi Bsiv,23
Maruti Wagon Rlxi Bsiv,23
Maruti Wagon Rgreen Lxi Bsiv,23
Verito D4 Bsiv,22
Steel Body,22
Ape Auto D3S Passenger,22
CONCRETE MIXER,22
Bolero Maxi Truckplus 2Wd Ps Bsiv,21
Soft Top,21
Splender Pro (Drum Self Cast Wheels) Bsiii,21
Van,20
Passion Pro (Drum-Kick Cast Wh,20
Hunk (Es),20
Maruti Sx4 Zdi  Bsiv,20
Maruti Swift Zxi Bsiv,20
Splender+(Drum-Cast Wheels),19
Maruti Swift Lxi Bsiv,18
Maruti Swift Ldi Bsiv,18
Maruti A-Star Lxi,18
Mahindra Bolero Camper Sc Xl Fb 2Wd Bsiii,18
HATCHBACK,18
Ape Cargo D600 Pick Up Bsiii,17
Maruti Celerio Vxi Bsiv,17
Maruti Swift Dzire Zxi Bsiv,17
Maruti Swift Zxi  Bsiv Wb-2430,17
Marutiswift Dzire Ldi Bsiv,17
Marutiswift Dzire Zxi Bsiv,17
RECOVERYVEHICLE,16
Maruti Swift Dzire Lxi Bsiv,16
CAGE,16
Hero Honda Splendor +,16
Compressor Mounted,16
Maruti Celerio Vxi Amt Bsiv,15
Maruti Eeco Green 5 Str Ac Bsiv,14
Maruti Swift Dzire Zdi-Bs Iii,14
Cbz X-Treme (Es)  Bsiii,14
"Mpi)""",14
Splendor+ (Drum-Cast Wheels) B,14
Splendor+ (Drum-Cast Wheels) Bsiii,14
Mahindra Bolero Maxi Truckplus 2Wd Bsiii,13
Mahindra 575 Di Bsiii A Tractor,13
Maruti Swift Dzire Vdi-Bs Ii,12
Maruti Ertiga Vxi Bsiv,12
Maruti Omni Mpi Std Bsiv,12
Cd-Delux Cast Wheels,12
Crane,12
Glamour Drum/Self Cast Wheel Bsiii,12
Ape Auto D3S Passenger Bsii,12
"Tfsi)""",12
Passion Plus (Drum Cast Wheels,12
PLATFORM,12
Passion Pro(Drum-Kick Spoke Wh,12
Passion Plus (Drum Cast Wheels),11
Maruti Wagon R Stingray Vxi  Bsiv,11
Splender Pro (Drum Self Spoke Wheels) Bsiii,11
Glamour Drum/Self  Bsiii,11
Karizma,11
Maruti Sx4 Vdi  Bsiv,11
Mahindra Alfaplus Bsiiipickupvan Diesel3Wh,11
Mahindra Maxximo Mini Van Vx Bsiii (7S),10
Maruti A-Star Zxi,10
Maruti Ertiga Zxi Bsiv,10
"Diesel Pd)Bsiii""",10
Splender Pro (Drum Self Spoke,10
Splendor + (Drum Spoke Wheels),10
Verito D2 Bsiv,10
Vespa Vx Bsiii,9
Passion Plus (Drum-Cast Wheels,9
Cd-Delux Self Spoke Wheels,9
Glamour-Drum/Self(Withcastwhee,9
Maruti Omni Mpi Ambulance Bsiv,9
Maruti Omni Mpi Cargo Bsiv,9
Maruti Ritz Ldi Bsiv,9
Mahindra Bolero Pick Up Fb Ps Mh 2Wd Bsiii,9
Mahindra Bolero Camper Gold 2Wd Bsiii,9
Maruti A Star Lxi Bsiv,8
Karizma  Zmr,8
A Star  Automatic  Bsiv,8
Passion Pro (Disc Self Cast Wheels)Bsiii,8
MOBILE CRANE,8
Passion Pro (Drum-Kick Spoke Wheels),8
Passion Plus (Drum-Cast Wheels),7
Omni Lpg Std Bsiii,7
Marutiswift Dizire Automatic Bsiv,7
Verito D6 Bsiv,7
Splender Pro (Drum Kick Spoke Wheels) Bsiii,7
" El.A.Start S-Bsii""",7
INA,7
Cd-Deluxe Cast Wheels Bsiii,7
Diesel,7
Maruti 800 Mpi Duo Bs Iii Std,7
Mahindra Boleromaxi Truckplus 2Wd Bsiv,7
Mahindra Maxximo Mini Van (7Str) Bsiii,7
Maruti Swift Dzire Lxi-Bs Iii,7
Maruti Omini Lpg Std Bsiii,6
Maruti Swift Lxi  Bsiv Wb-2430,6
Mahindra Maxximo Mini Van Bsiii (7S),6
Mahindra Bolero Pick Up Fb 2Wd Bsiii,6
Cd-Deluxe Self Spoke Wheels Bsiii,6
Cd-Delux Self Cast Wheels,6
" Std""",6
Ape Xtra Ld Drive Away Chassis Cabin Bsiii,6
Ape City Diesel Bsiii,6
Unitized,6
Maruti Zen Estilo Green Lxi  Bsiv,6
Passion Pro(Drum-Kick Cast Wheels)Bsiii,6
Passion Plus Drum Cast Wheels-,5
Passion Pro (Disc Self-Cast Wheels),5
Maruti Zen Estilo Vxi Bsiv,5
"Tdi)""",5
Scorpio Ex 2.5M 2Dicr Microhyb. 2Wd Bsiv 9Str,5
Splendor Nxg(Self-Cast Wheel),5
Ape City Bsiii,5
Bolero Camper Sc Xl 2Wd Bsiii,5
Cbz X-Treme-Es(Electricstart)Bsii,5
" Tdi)-Bs Iii""",5
"Diambulance Long""",5
Glamour Drum Self Cast Wheel(Gvw247 Kgs)Bsiii,5
Mahindra Maxximo Mini Van Vx Bsiv (7S),5
Mahindra Mm 540 Thar 4Wd Bsiv,5
Mahindra Bolero Camper Sc Xl Cbc 2Wd Bsiii,5
Mahindra 475 Di Lt Bhoomiputra Bsiiia,5
Maruti A Star Zxi Bsiv,5
Mahindra Quanto C6 2Wd 7Str Bsiv,5
Mahindra Verito Vibe D6 Bsiv,5
Maruti Wagon R Duo Lxi Bsiv,5
Maruti Eeco Care (Ambulance) Bsiv,5
Maruti Eeco Green 5 Str Ac Bsi,4
Maruti Ertiga Ldi Bsiv,4
Maruti Swift Dzire Zxi-Bs Iii,4
Maruti Celerio Lxi Bsiv,4
Maruti Celerio Zxi Bsiv,4
Maruti Eeco 5 Seater W/O Ac,4
Mahindra 475 Di Bsiii A,4
Mahindra Maxx Pik Up Junior -2Wd Bsii,4
Karizma Under Cowl Bsiii,4
Glamour Drum Self Cast Wheel(Gvw 247 Kgs)Bsii,4
Champion Alfa Bs3 Pickup Van D 3 Wheeler,4
Cd-Deluxe Self Cast Wheels Bsiii,4
" Tdi)-Bs""",4
"0 Tdi Quattro Automatic""",4
" Mpi)-Bs""",4
Cbz X Treme (Es) Rear Disc Brake Bsiii,4
Ape Xtra Ld,4
Ape Cargo D600 Pickup Van Bsii,4
Select,4
"Sl""",4
Splender Pro (Drum Self Cast W,4
Marutiswift Dzire Lxi Bsiv,4
P.S.,4
Passion Pro(Drum-Kick Spoke Wheels)Bsiii,4
Passion Plus (Disc Cast Wheels),3
Maruti Zen Estilo Green Lxi  B,3
Splender Pro (Drum Kick Cast Wheels) Bsiii,3
Splender+ (Disc-Spoke Wheels),3
Splendor +(Drum Spoke Wheels)-,3
Super Splender Drum/Self Bsiii,3
"Tsi)""",3
W204 C220 Cdi Blue Efficiency At Bsiv,3
Ape Cargo D 600 Pick-Up Van,3
Ape City Lpg Bsiii,3
Ape Cng 3S Passenger Bsiii,3
Bolero Camper Sc Xl Cbc 2Wd Bsiii,3
" Di (4X2) Bsiii""",3
Cd-Deluxe Self Cast Wheels Bsi,3
Cd-Deluxe Spoke Wheels Bsiii,3
Cd-Deluxe Bsii,3
Cd-Dawn,3
Hunk (Es)  Bsiii,3
Glamour Drum/Self Cast Wheel B,3
Hero Honda Cd 100,3
Mahindra Bolero Pick Up 2Wd Bsiii,3
Mahindra Bolero Camper Sc Xl 2Wd Bsiii,3
Mahindra B275Di(Brand Bhoomiputra)Bsiii,3
Maruti Alto Std Bsiv,3
Maruti Alto Lx Bsiv,2
Mahindra Quanto C8 2Wd 7Str Bsiv,2
Mahindra Verito Vibe D4 Bsiv,2
Maruti  Ritz Diesel Taxi Bsiv,2
Mahindra Bolero Camper Sc Xl 2Wd Bsii,2
Mahindra B275 Di Mkm (Bhoomiputra)Bsiiia,2
Mahindra 265 Di Mkm Bsiii A (Tractor),2
Mahindra 575 Di Bsiii Tractor,2
Mahindra Bolero Camper Scxlfbcbc 2Wd Bsiii,2
Mahindra Quanto C4 2Wd 7Str Bsiv,2
Maruti Wagon R Green  Lxi  Bsi,2
Maruti Sx4 Green Vxi Bsiv,2
Maruti Ertiga Green Vxi Bsiv,2
