RTA-HYDERABAD-CZ,3554
RTA RANGAREDDY,2632
RTA UPPAL,2187
RTA IBRAHIMPATNAM,2097
RTA MEDCHAL,1905
RTA-HYDERABAD-NZ,1763
RTA-HYDERABAD-WZ,1645
RTA-HYDERABAD-EZ,1572
RTA-HYDERABAD-SZ,1508
RTA NIZAMABAD,1066
RTA KARIMNAGAR,864
UNIT OFFICE KUKATPALLY,768
RTA SIDDIPET,766
RTA NALGONDA,739
RTA MAHABOOBNAGAR,604
RTA YADADRI,585
RTA SANGAREDDY,574
RTA KAMAREDDY,559
RTA KHAMMAM,552
"5,RTA IBRAHIMPATNAM",541
"5,RTA-HYDERABAD-CZ",516
"5,RTA UPPAL",486
RTA HANUMAKONDA,483
RTA MANCHERIAL,440
RTA JAGITYAL,435
RTA PEDDAPALLI,395
"5,RTA RANGAREDDY",391
UNIT OFFICE PATANCHERUVU,385
"2,RTA-HYDERABAD-CZ",382
RTA WARANGAL,361
RTA ADILABAD,339
"5,RTA MEDCHAL",336
RTA SURYAPET,324
RTA RAJANNA,311
RTA MEDAK,308
RTA VIKARABAD,292
RTA NIRMAL,280
"5,RTA-HYDERABAD-NZ",269
RTA NAGARKURNOOL,264
RTA BHADRADRI,262
RTA JANGOAN,254
UNIT OFFICE MIRYALAGUDA,243
"2,RTA-HYDERABAD-EZ",240
RTA WANAPARTHY,233
"5,RTA SIDDIPET",224
RTA NARAYANPET,213
RTA JOGULAMBA,205
UNIT OFFICE ZAHIRABAD,198
UNIT OFFICE PARGI,194
"2,RTA-HYDERABAD-NZ",191
UNIT OFFICE SHADNAGAR,186
"2,RTA IBRAHIMPATNAM",180
RTA JAYASHANKAR,178
"2,RTA-HYDERABAD-WZ",169
"2,RTA UPPAL",168
"5,RTA MAHABOOBNAGAR",167
"5,UNIT OFFICE KUKATPALLY",167
"5,RTA KARIMNAGAR",165
"5,RTA-HYDERABAD-EZ",160
"2,RTA-HYDERABAD-SZ",159
"5,RTA NIZAMABAD",158
"5,RTA-HYDERABAD-WZ",143
"5,RTA YADADRI",141
RTA MAHABUBABAD,137
UNIT OFFICE ARMOOR,132
UNIT OFFICE KORUTLA,126
RTA KOMRAMBHEEM,119
"2,RTA RANGAREDDY",118
"5,RTA NALGONDA",117
"5,RTA SANGAREDDY",117
"2,RTA MEDCHAL",111
UNIT OFFICE KODAD,107
UNIT OFFICE RAMAGUNDAM,106
"5,RTA KAMAREDDY",101
"5,UNIT OFFICE PATANCHERUVU",99
"5,UNIT OFFICE SHADNAGAR",95
"5,RTA-HYDERABAD-SZ",91
"5,RTA MEDAK",85
"5,RTA HANUMAKONDA",76
"5,RTA RAJANNA",75
"5,UNIT OFFICE ZAHIRABAD",66
"5,RTA NIRMAL",65
UNIT OFFICE HUZURABAD,64
UNIT OFFICE SATTUPALLI,60
RTA MULUGU,60
UNIT OFFICE KALWAKURTHY,58
"5,UNIT OFFICE MIRYALAGUDA",53
"5,UNIT OFFICE PARGI",52
"5,RTA VIKARABAD",52
"5,RTA JAGITYAL",52
"5,RTA KHAMMAM",51
UNIT OFFICE BHODAN,51
UNIT OFFICE BHADRACHALAM,46
"5,UNIT OFFICE KORUTLA",46
"2,RTA SIDDIPET",46
"5,RTA JANGOAN",45
