OfficeCd,count
UNIT OFFICE PEBBAIR,746
UNIT OFFICE KALWAKURTHY,1303
UNIT OFFICE HUZURABAD,1597
UNIT OFFICE SATTUPALLI,1712
UNIT OFFICE WYRA,1806
RTA MULUGU,1823
UNIT OFFICE BHODAN,1989
UNIT OFFICE RAMAGUNDAM,2213
UNIT OFFICE BHADRACHALAM,2256
UNIT OFFICE KORUTLA,2728
RTA JAYASHANKAR,3035
UNIT OFFICE ARMOOR,3417
UNIT OFFICE KODAD,3453
UNIT OFFICE ZAHIRABAD,3523
UNIT OFFICE SHADNAGAR,3695
RTA KOMRAMBHEEM,3908
UNIT OFFICE PARGI,4127
RTA WANAPARTHY,4209
RTA JANGOAN,4410
RTA VIKARABAD,4636
RTA JOGULAMBA,5035
RTA MAHABUBABAD,5099
RTA RAJANNA,5116
RTA PEDDAPALLI,5147
RTA NARAYANPET,5199
RTA JAGITYAL,5600
RTA NAGARKURNOOL,5727
UNIT OFFICE MIRYALAGUDA,5880
RTA NIRMAL,6010
RTA MEDAK,6378
RTA ADILABAD,6466
RTA BHADRADRI,7219
RTA WARANGAL,7358
RTA MANCHERIAL,7680
RTA SURYAPET,7725
RTA HANUMAKONDA,8716
RTA KAMAREDDY,8791
RTA YADADRI,9263
UNIT OFFICE PATANCHERUVU,9479
RTA SANGAREDDY,9749
RTA MAHABOOBNAGAR,10588
RTA SIDDIPET,10661
RTA KARIMNAGAR,11273
RTA KHAMMAM,11659
RTA NIZAMABAD,12017
RTA NALGONDA,13129
UNIT OFFICE KUKATPALLY,13825
RTA-HYDERABAD-EZ,14090
RTA-HYDERABAD-NZ,16748
RTA-HYDERABAD-WZ,16979
RTA-HYDERABAD-SZ,18003
RTA UPPAL,30618
RTA-HYDERABAD-CZ,30966
RTA IBRAHIMPATNAM,32043
RTA MEDCHAL,33573
RTA RANGAREDDY,47417
